,Player,playerId,teamId,2K17,2K16,abbreviation
199,Jared Dudley,201162,1610612756,76.0,75.0,PHX
200,Brandon Knight,202688,1610612756,78.0,81.0,PHX
201,Alex Len,203458,1610612756,75.0,74.0,PHX
202,Ronnie Price,101179,1610612756,69.0,69.0,PHX
203,TJ Warren,203933,1610612756,76.0,72.0,PHX
204,Alan Williams,1626210,1610612756,70.0,67.0,PHX
205,Harrison Barnes,203084,1610612742,79.0,77.0,DAL
206,Seth Curry,203552,1610612742,72.0,67.0,DAL
207,AJ Hammons,1627773,1610612742,69.0,69.0,DAL
208,Devin Harris,2734,1610612742,73.0,74.0,DAL
209,Wesley Matthews,202083,1610612742,78.0,79.0,DAL
210,Salah Mejri,1626257,1610612742,73.0,68.0,DAL
211,Nerlens Noel,203457,1610612742,77.0,77.0,DAL
212,Dirk Nowitzki,1717,1610612742,84.0,84.0,DAL
213,Dwight Powell,203939,1610612742,74.0,68.0,DAL
214,Matt Barnes,2440,1610612744,74.0,73.0,GSW
215,Ian Clark,203546,1610612744,71.0,66.0,GSW
216,Stephen Curry,201939,1610612744,94.0,93.0,GSW
217,Kevin Durant,201142,1610612744,93.0,91.0,GSW
218,Draymond Green,203110,1610612744,90.0,82.0,GSW
219,Andre Iguodala,2738,1610612744,81.0,77.0,GSW
220,Damian Jones,1627745,1610612744,68.0,68.0,GSW
221,Shaun Livingston,2733,1610612744,76.0,73.0,GSW
222,Kevon Looney,1626172,1610612744,70.0,69.0,GSW
223,James Michael McAdoo,203949,1610612744,68.0,67.0,GSW
224,Patrick McCaw,1627775,1610612744,70.0,70.0,GSW
225,Zaza Pachulia,2585,1610612744,76.0,73.0,GSW
226,Klay Thompson,202691,1610612744,90.0,87.0,GSW
227,David West,2561,1610612744,75.0,77.0,GSW
228,Nicolas Batum,201587,1610612766,79.0,77.0,CHA
229,Marco Belinelli,201158,1610612766,72.0,73.0,CHA
230,Frank Kaminsky,1626163,1610612766,74.0,73.0,CHA
231,Michael Kidd-Gilchrist,203077,1610612766,79.0,78.0,CHA
232,Jeremy Lamb,203087,1610612766,74.0,73.0,CHA
233,Miles Plumlee,203101,1610612766,73.0,71.0,CHA
234,Brian Roberts,203148,1610612766,72.0,72.0,CHA
235,Ramon Sessions,201196,1610612766,74.0,72.0,CHA
236,Kemba Walker,202689,1610612766,85.0,81.0,CHA
237,Marvin Williams,101107,1610612766,78.0,71.0,CHA
238,Christian Wood,1626174,1610612766,68.0,67.0,CHA
239,Cody Zeller,203469,1610612766,76.0,74.0,CHA
240,Aron Baynes,203382,1610612765,75.0,72.0,DET
241,Reggie Bullock,203493,1610612765,70.0,67.0,DET
242,Kentavious Caldwell-Pope,203484,1610612765,79.0,73.0,DET
243,Andre Drummond,203083,1610612765,87.0,83.0,DET
244,Henry Ellenson,1627740,1610612765,70.0,70.0,DET
245,Michael Gbinije,1627771,1610612765,68.0,68.0,DET
246,Tobias Harris,202699,1610612765,78.0,79.0,DET
247,Darrun Hilliard,1626199,1610612765,68.0,68.0,DET
248,Reggie Jackson,202704,1610612765,82.0,78.0,DET
249,Stanley Johnson,1626169,1610612765,75.0,73.0,DET
250,Jon Leuer,202720,1610612765,75.0,72.0,DET
251,Boban Marjanovic,1626246,1610612765,75.0,69.0,DET
252,Marcus Morris,202694,1610612765,76.0,73.0,DET
253,Beno Udrih,2757,1610612765,72.0,75.0,DET
254,Kent Bazemore,203145,1610612737,78.0,72.0,ATL
255,Mike Dunleavy,2399,1610612737,73.0,73.0,ATL
256,Dwight Howard,2730,1610612737,84.0,85.0,ATL
257,Kris Humphries,2743,1610612737,73.0,72.0,ATL
258,Ersan Ilyasova,101141,1610612737,75.0,74.0,ATL
259,Paul Millsap,200794,1610612737,86.0,83.0,ATL
260,Mike Muscala,203488,1610612737,72.0,72.0,ATL
261,Taurean Prince,1627752,1610612737,71.0,71.0,ATL
262,Thabo Sefolosha,200757,1610612737,75.0,74.0,ATL
263,Bradley Beal,203078,1610612764,79.0,80.0,WAS
264,Bojan Bogdanovic,202711,1610612764,76.0,71.0,WAS
265,Trey Burke,203504,1610612764,73.0,73.0,WAS
266,Marcin Gortat,101162,1610612764,79.0,78.0,WAS
267,Brandon Jennings,201943,1610612764,75.0,80.0,WAS
268,Ian Mahinmi,101133,1610612764,76.0,73.0,WAS
269,Chris McCullough,1626191,1610612764,69.0,67.0,WAS
270,Markieff Morris,202693,1610612764,76.0,78.0,WAS
271,Tomas Satoransky,203107,1610612764,72.0,72.0,WAS
272,Jason Smith,201160,1610612764,73.0,72.0,WAS
273,John Wall,202322,1610612764,88.0,87.0,WAS
274,Bismack Biyombo,202687,1610612753,77.0,72.0,ORL
275,Evan Fournier,203095,1610612753,78.0,72.0,ORL
276,Aaron Gordon,203932,1610612753,76.0,74.0,ORL
277,Jeff Green,201145,1610612753,76.0,77.0,ORL
278,Mario Hezonja,1626209,1610612753,74.0,73.0,ORL
279,Jodie Meeks,201975,1610612753,74.0,74.0,ORL
280,Elfrid Payton,203901,1610612753,75.0,76.0,ORL
281,Terrence Ross,203082,1610612753,75.0,73.0,ORL
282,Damjan Rudez,204014,1610612753,66.0,68.0,ORL
283,Nikola Vucevic,202696,1610612753,80.0,83.0,ORL
284,Stephen Zimmerman,1627757,1610612753,67.0,67.0,ORL
285,Tarik Black,204028,1610612747,70.0,69.0,LAL
286,Corey Brewer,201147,1610612747,73.0,76.0,LAL
287,Jordan Clarkson,203903,1610612747,77.0,75.0,LAL
288,Luol Deng,2736,1610612747,78.0,78.0,LAL
289,Tyler Ennis,203898,1610612747,70.0,67.0,LAL
290,Brandon Ingram,1627742,1610612747,78.0,78.0,LAL
291,Timofey Mozgov,202389,1610612747,75.0,77.0,LAL
292,Julius Randle,203944,1610612747,77.0,74.0,LAL
293,D'Angelo Russell,1626156,1610612747,79.0,77.0,LAL
294,Nick Young,201156,1610612747,70.0,73.0,LAL
295,Ivica Zubac,1627826,1610612747,67.0,67.0,LAL
296,Joel Bolomboy,1627762,1610612762,67.0,67.0,UTA
297,Alec Burks,202692,1610612762,77.0,76.0,UTA
298,Boris Diaw,2564,1610612762,74.0,74.0,UTA
299,Dante Exum,203957,1610612762,74.0,73.0,UTA
300,Derrick Favors,202324,1610612762,85.0,82.0,UTA
301,Rudy Gobert,203497,1610612762,81.0,79.0,UTA
302,Gordon Hayward,202330,1610612762,84.0,83.0,UTA
303,George Hill,201588,1610612762,76.0,78.0,UTA
304,Rodney Hood,203918,1610612762,80.0,71.0,UTA
305,Joe Ingles,204060,1610612762,73.0,70.0,UTA
306,Joe Johnson,2207,1610612762,77.0,79.0,UTA
307,Trey Lyles,1626168,1610612762,72.0,72.0,UTA
308,Shelvin Mack,202714,1610612762,74.0,72.0,UTA
309,Raul Neto,203526,1610612762,73.0,70.0,UTA
310,Jeff Withey,203481,1610612762,74.0,70.0,UTA
311,Avery Bradley,202340,1610612738,82.0,77.0,BOS
312,Jaylen Brown,1627759,1610612738,74.0,74.0,BOS
